school_id,board,board_code,udise_plus_id,udise_code_masked,match_type,match_note,evidence_url
sr17400,cbse,2430157,3482192,******05802,same_website,Same website as the other listing of this school.,
sr17511,cbse,430014,4244082,******01102,own,,
sr17614,icse,KA142,5520052,******36927,own,,
sr18182,icse,KA429,5528394,******02259,own,,
sr19582,cbse,2430364,3499665,******14504,own,,
sr19807,cbse,2132609,2024897,******10404,own,,
sr19936,cbse,1131124,4613422,******01806,own,,
sr20019,icse,KA040,5519218,******41910,own,,
sr20458,cbse,2730334,,,own,,
sr20598,cambridge,IA658,5432177,******92240,same_name_locality,"Checked by hand: same school name in the same locality, and no other campus of it there.",
sr20598,icse,AP005,5432177,******92240,same_name_locality,"Checked by hand: same school name in the same locality, and no other campus of it there.",
sr20778,cambridge,IA697,5413032,******00716,same_name_locality,"Checked by hand: same school name in the same locality, and no other campus of it there.",https://saras.cbse.gov.in/SARAS/AffiliatedList/AfflicationDetails/3630333
sr20778,cbse,3630333,5413032,******00716,same_name_locality,"Checked by hand: same school name in the same locality, and no other campus of it there.",https://saras.cbse.gov.in/SARAS/AffiliatedList/AfflicationDetails/3630333
sr20814,cbse,1930783,5110089,******01457,own,,
sr21194,cbse,1030098,3944725,******16029,own,,
sr21219,cbse,2131222,2122174,******01022,own,,
sr21302,cbse,830936,5525282,******13724,own,,
sr21335,cbse,830997,5524847,******01323,own,,
sr21536,cbse,831252,5518515,******13804,own,,
sr21657,cbse,2730063,1602187,******15303,own,,
sr22236,icse,KA024,5511267,******03004,own,,
sr22306,cambridge,IA246,2056385,******00928,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr22306,icse,UP036,2056385,******00928,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr22755,cbse,2132983,2182628,******10811,own,,
sr22985,cbse,830395,5518261,******01015,own,,
sr23148,cbse,830254,5522478,******10308,own,,
sr23395,cbse,831108,5510445,******18128,own,,
sr23527,cbse,2134175,2210291,******00813,own,,
sr23555,cbse,1930948,5124404,******01705,own,,
sr23770,cbse,430056,4243272,******29303,own,,
sr23793,cbse,1931077,5105170,******00407,own,,
sr23950,cbse,532159,,,own,,
sr24228,cbse,1131633,,,own,,
sr25170,cbse,430318,4218710,******00542,own,,
sr25240,ib,001424,1501802,******02802,own,,
sr25927,cbse,3630217,5425293,******91642,own,,
sr26251,cbse,830157,,,own,,
sr26523,icse,WB305,3434989,******01704,own,,
sr26601,cbse,830441,5518952,******21103,own,,
sr26784,cbse,1131186,4613476,******08926,own,,
sr26928,cambridge,IN716,5402646,******02105,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr26928,ib,051816,5402646,******02105,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr27074,cbse,830605,5519390,******06819,own,,
sr27275,cbse,531679,1523729,******00804,own,,
sr27360,cbse,2700025,1600101,******22503,own,,
sr27413,cambridge,IN501,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr27413,ib,001226,,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr27495,cambridge,IN996,,,own,,
sr27535,cbse,1030228,4022856,******06607,own,,
sr27593,cbse,2133866,2198838,******02804,own,,
sr27799,icse,MA290,4615628,******00503,own,,
sr27809,ib,063040,,,own,,
sr28092,cambridge,IA030,4612001,******00915,own,,
sr28453,cbse,430178,4242809,******01412,own,,
sr29175,cambridge,IN746,5520459,******01056,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr29175,cbse,830821,5520459,******01056,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr30605,cbse,1930147,5103196,******00720,own,,
sr30879,cbse,2132903,2117282,******03004,own,,
sr31122,cbse,1631290,1205671,******01507,own,,
sr31386,cbse,2130905,2186170,******02803,own,,
sr31538,cambridge,IN710,5103840,******01211,own,,
sr31657,cbse,2130596,1942947,******04105,own,,
sr31800,cbse,531934,,,own,,
sr31820,cbse,531771,1524008,******01705,own,,
sr31922,cbse,430127,4234194,******09603,same_website,Same website as the other listing of this school.,
sr31922,ib,062164,4234194,******09603,same_website,Same website as the other listing of this school.,
sr32043,cbse,3630371,5444754,******01618,own,,
sr32284,cbse,1930799,5138413,******06002,own,,
sr32377,cbse,1530256,3766419,******00152,own,,
sr33015,cbse,530598,1502007,******06421,own,,
sr33200,cbse,730097,1019889,******10503,own,,
sr33205,cambridge,IN507,136061551500001,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr33205,icse,UT004,136061551500001,,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr33374,cbse,2730614,1604242,******13410,own,,
sr33445,cbse,130739,4683095,******00344,own,,
sr33469,cbse,2130291,2160340,******11803,own,,
sr33630,icse,AP018,5407450,******90220,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr33630,ib,003528,5407450,******90220,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr33861,cbse,531530,1509175,******01812,own,,
sr34323,cbse,1131483,409861942300001,,own,,
sr34776,cbse,1930348,5119718,******00606,own,,
sr34846,cbse,2130175,1990696,******01113,own,,
sr34945,cbse,2130537,2182729,******01910,own,,
sr35035,cbse,3020056,4400021,******00108,own,,
sr35046,cbse,130750,4720903,******00484,own,,
sr35060,cbse,2730393,1602846,******14203,own,,
sr35181,cbse,3630046,5410634,******01710,own,,
sr35457,cbse,830084,5503295,******03108,own,,
sr35532,cbse,1130749,,,own,,
sr36156,cbse,1730104,1738680,******05306,own,,
sr36313,cbse,1130086,4564858,******00905,own,,
sr36483,cambridge,IN239,,,own,,
sr36488,cbse,1630922,1209590,******08203,own,,
sr36524,cambridge,IN293,5444529,******01315,own,,
sr36573,cbse,830652,5520907,******02416,own,,
sr36626,icse,MA301,,,own,,
sr36921,icse,UP002,29271229800001,,own,,
sr37094,cbse,2730531,1605327,******05812,own,,
sr37272,cbse,2730639,1603947,******12607,own,,
sr37492,cbse,1130557,4597486,******00489,own,,
sr37705,cbse,2133727,2215682,******03970,own,,
sr37935,cbse,830053,5507377,******03012,own,,
sr38232,cbse,1930234,5155556,******10703,own,,
sr38342,cbse,830938,5519223,******29812,own,,
sr38721,cbse,831678,5582723,******01774,own,,
sr39110,cbse,430072,4254551,******15801,own,,
sr39167,cbse,1130278,4516859,******00168,own,,
sr39276,cbse,1031235,4035297,******20502,own,,
sr39365,cbse,2130247,,,own,,
sr39382,cbse,830793,5516631,******33474,own,,
sr39965,cambridge,IN948,1522201,******05604,school_says_one_campus,Checked by hand: the school's own website says one campus runs both boards - see evidence_url.,https://www.tsrs.org/
sr39965,icse,HA015,1522201,******05604,school_says_one_campus,Checked by hand: the school's own website says one campus runs both boards - see evidence_url.,https://www.tsrs.org/
sr39965,ib,002227,1522201,******05604,school_says_one_campus,Checked by hand: the school's own website says one campus runs both boards - see evidence_url.,https://www.tsrs.org/
sr40117,cbse,530699,,,own,,
sr40132,icse,UP072,2109212,******04811,own,,
sr40179,cbse,2134684,,,own,,
sr40218,cbse,2730721,1603518,******13644,own,,
sr40531,icse,KA072,5503427,******01294,own,,
sr40614,cbse,531868,,,own,,
sr40781,cambridge,IN153,,,same_address,Checked by hand: the listings give the same street address.,
sr40781,ib,060124,,,same_address,Checked by hand: the listings give the same street address.,
sr41058,cbse,830799,5519356,******01239,own,,
sr41217,icse,KA526,5525438,******00577,own,,
sr41787,cambridge,IA423,4615844,******10811,same_website,Same website as the other listing of this school.,
sr41787,ib,064357,4615844,******10811,same_website,Same website as the other listing of this school.,
sr41870,cbse,2730576,1602427,******04304,own,,
sr42155,cbse,2430093,3401321,******11015,own,,
sr42410,cbse,2133162,2191451,******00525,own,,
sr42730,cbse,1630607,1202543,******14002,own,,
sr42775,icse,KA114,5509091,******04604,own,,
sr42918,cbse,300006,2415981,******03608,own,,
sr43148,icse,UP104,2195247,******05803,own,,
sr43161,cbse,831359,5582903,******00057,own,,
sr43238,cbse,2131583,2132388,******07514,own,,
sr43580,cambridge,IN158,4661777,******91583,own,,
sr43617,cbse,130123,4665724,******95540,own,,
sr43758,cbse,130725,4720986,******00574,own,,
sr43810,cbse,532058,1501380,******02702,own,,
sr43921,cbse,831549,5502955,******03833,own,,
sr43936,cbse,830453,5519046,******01926,own,,
sr43965,cbse,831205,,,own,,
sr44271,cbse,2430267,,,own,,
sr44542,cbse,831435,5503027,******02010,own,,
sr44619,cbse,831233,5581280,******01968,own,,
sr44643,cbse,3630434,5457796,******00306,own,,
sr44760,cbse,800028,5511474,******20729,own,,
sr90325,cambridge,IA295,5106625,******03807,same_website,Same website as the other listing of this school.,
sr90325,icse,TN042,5106625,******03807,same_website,Same website as the other listing of this school.,
sr90327,cambridge,IA427,5159363,******01813,same_website,Same website as the other listing of this school.,
sr90327,cbse,1931398,5159363,******01813,same_website,Same website as the other listing of this school.,
sr90328,cambridge,IN417,76009178100001,,same_website,Same website as the other listing of this school.,
sr90328,ib,001940,76009178100001,,same_website,Same website as the other listing of this school.,
sr90329,cambridge,IA662,4720931,******00535,same_website,Same website as the other listing of this school.,
sr90329,cbse,130792,4720931,******00535,same_website,Same website as the other listing of this school.,
sr90330,cambridge,IN076,4597547,******00292,same_website,Same website as the other listing of this school.,
sr90330,ib,003418,4597547,******00292,same_website,Same website as the other listing of this school.,
sr90331,cbse,830419,5519601,******30502,same_website,Same website as the other listing of this school.,
sr90331,icse,KA275,5519601,******30502,same_website,Same website as the other listing of this school.,
sr90332,cambridge,IA101,4719825,******91340,same_website,Same website as the other listing of this school.,
sr90332,cbse,130620,4719825,******91340,same_website,Same website as the other listing of this school.,
sr90333,cambridge,IA692,4229867,******08604,same_website,Same website as the other listing of this school.,
sr90333,cbse,430296,4229867,******08604,same_website,Same website as the other listing of this school.,
sr90334,cbse,3530709,1422483,******09202,same_website,Same website as the other listing of this school.,
sr90334,icse,UT046,1422483,******09202,same_website,Same website as the other listing of this school.,
sr90335,icse,MA245,4505270,******00248,same_website,Same website as the other listing of this school.,
sr90335,ib,063161,4505270,******00248,same_website,Same website as the other listing of this school.,
sr90336,cambridge,IN511,5518866,******03663,same_website,Same website as the other listing of this school.,
sr90336,ib,002388,5518866,******03663,same_website,Same website as the other listing of this school.,
sr90337,cambridge,IN649,,,same_website,Same website as the other listing of this school.,
sr90337,ib,002602,,,same_website,Same website as the other listing of this school.,
sr90338,cambridge,IA111,,,same_website,Same website as the other listing of this school.,
sr90338,ib,062032,,,same_website,Same website as the other listing of this school.,
sr90339,cambridge,IA561,1747573,******31110,same_website,Same website as the other listing of this school.,
sr90339,cbse,1730128,1747573,******31110,same_website,Same website as the other listing of this school.,
sr90339,ib,062909,1747573,******31110,same_website,Same website as the other listing of this school.,
sr90340,cambridge,IN283,5439640,******00505,same_website,Same website as the other listing of this school.,
sr90340,cbse,3630147,5439640,******00505,same_website,Same website as the other listing of this school.,
sr90340,ib,062971,5439640,******00505,same_website,Same website as the other listing of this school.,
sr90341,cambridge,IN981,1745278,******04224,same_website,Same website as the other listing of this school.,
sr90341,cbse,1730791,1745278,******04224,same_website,Same website as the other listing of this school.,
sr90342,cambridge,IN657,4571933,******00906,same_website,Same website as the other listing of this school.,
sr90342,ib,006430,4571933,******00906,same_website,Same website as the other listing of this school.,
sr90343,cambridge,IN460,3464798,******07118,same_website,Same website as the other listing of this school.,
sr90343,icse,WB500,3464798,******07118,same_website,Same website as the other listing of this school.,
sr90344,cambridge,IN218,,,same_website,Same website as the other listing of this school.,
sr90344,ib,006165,,,same_website,Same website as the other listing of this school.,
sr90345,cambridge,IA193,,,same_website,Same website as the other listing of this school.,
sr90345,cbse,3630523,,,same_website,Same website as the other listing of this school.,
sr90345,ib,064771,,,same_website,Same website as the other listing of this school.,
sr90346,cambridge,IA724,,,same_website,Same website as the other listing of this school.,
sr90346,icse,KA467,,,same_website,Same website as the other listing of this school.,
sr90346,ib,062396,,,same_website,Same website as the other listing of this school.,
sr90347,cambridge,IA276,5103966,******01511,same_website,Same website as the other listing of this school.,
sr90347,icse,TN060,5103966,******01511,same_website,Same website as the other listing of this school.,
sr90348,cbse,1930154,5124477,******01009,same_website,Same website as the other listing of this school.,
sr90348,ib,001070,5124477,******01009,same_website,Same website as the other listing of this school.,
sr90349,cambridge,IN088,,,same_website,Same website as the other listing of this school.,
sr90349,ib,049119,,,same_website,Same website as the other listing of this school.,
sr90350,cambridge,IN459,4064150,******07803,same_website,Same website as the other listing of this school.,
sr90350,ib,002328,4064150,******07803,same_website,Same website as the other listing of this school.,
sr90351,cambridge,IA325,,,same_website,Same website as the other listing of this school.,
sr90351,ib,061875,,,same_website,Same website as the other listing of this school.,
sr90352,cambridge,IN771,,,same_website,Same website as the other listing of this school.,
sr90352,ib,060219,,,same_website,Same website as the other listing of this school.,
sr90353,cambridge,IA035,5159600,******10125,same_website,Same website as the other listing of this school.,
sr90353,ib,062653,5159600,******10125,same_website,Same website as the other listing of this school.,
sr90354,cambridge,IN882,5100757,******08105,same_website,Same website as the other listing of this school.,
sr90354,ib,049062,5100757,******08105,same_website,Same website as the other listing of this school.,
sr90355,cambridge,IA532,1224702,******06702,same_website,Same website as the other listing of this school.,
sr90355,cbse,1631127,1224702,******06702,same_website,Same website as the other listing of this school.,
sr90356,cambridge,IN179,5518275,******14602,same_website,Same website as the other listing of this school.,
sr90356,cbse,830284,5518275,******14602,same_website,Same website as the other listing of this school.,
sr90356,ib,062466,5518275,******14602,same_website,Same website as the other listing of this school.,
sr90357,cambridge,IN238,,,same_website,Same website as the other listing of this school.,
sr90357,cbse,830092,,,same_website,Same website as the other listing of this school.,
sr90357,ib,062596,,,same_website,Same website as the other listing of this school.,
sr90358,cambridge,IA241,5017302,******00123,same_website,Same website as the other listing of this school.,
sr90358,cbse,931333,5017302,******00123,same_website,Same website as the other listing of this school.,
sr90359,cambridge,IA700,5412902,******90299,same_website,Same website as the other listing of this school.,
sr90359,cbse,3630448,5412902,******90299,same_website,Same website as the other listing of this school.,
sr90360,cambridge,IA578,4615330,******09710,same_website,Same website as the other listing of this school.,
sr90360,cbse,1131368,4615330,******09710,same_website,Same website as the other listing of this school.,
sr90361,cambridge,IA048,2181960,******02303,same_website,Same website as the other listing of this school.,
sr90361,cbse,2130375,2181960,******02303,same_website,Same website as the other listing of this school.,
sr90362,cambridge,IA660,1229215,******12012,same_website,Same website as the other listing of this school.,
sr90362,cbse,1631303,1229215,******12012,same_website,Same website as the other listing of this school.,
sr90363,cbse,3530044,1403219,******01107,same_website,Same website as the other listing of this school.,
sr90363,icse,UT087,1403219,******01107,same_website,Same website as the other listing of this school.,
sr90364,cambridge,IA699,5405597,******01717,same_website,Same website as the other listing of this school.,
sr90364,cbse,3630285,5405597,******01717,same_website,Same website as the other listing of this school.,
sr90365,cambridge,IN495,,,same_website,Same website as the other listing of this school.,
sr90365,ib,049230,,,same_website,Same website as the other listing of this school.,
sr90366,cambridge,IN728,4537167,******07407,same_website,Same website as the other listing of this school.,
sr90366,ib,006671,4537167,******07407,same_website,Same website as the other listing of this school.,
sr90367,cambridge,IN945,3979131,******00136,same_website,Same website as the other listing of this school.,
sr90367,ib,004195,3979131,******00136,same_website,Same website as the other listing of this school.,
sr90368,cambridge,IN644,5518491,******11851,same_website,Same website as the other listing of this school.,
sr90368,ib,004137,5518491,******11851,same_website,Same website as the other listing of this school.,
sr90369,cambridge,IA959,5583991,******01154,same_website,Same website as the other listing of this school.,
sr90369,cbse,831631,5583991,******01154,same_website,Same website as the other listing of this school.,
sr90370,cambridge,IA713,4721783,******01312,same_website,Same website as the other listing of this school.,
sr90370,cbse,130820,4721783,******01312,same_website,Same website as the other listing of this school.,
sr90371,cambridge,IN241,4564507,******02109,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr90371,cbse,1130427,4564507,******02109,same_website,Same website as the other listing of this school.,
sr90371,ib,061092,4564507,******02109,same_website,Same website as the other listing of this school.,
sr90372,cambridge,IN189,5439730,******00507,same_website,Same website as the other listing of this school.,
sr90372,cbse,3630292,5439730,******00507,same_website,Same website as the other listing of this school.,
sr90373,cambridge,IN537,1300153,******00102,same_website,Same website as the other listing of this school.,
sr90373,ib,049873,1300153,******00102,same_website,Same website as the other listing of this school.,
sr90374,cambridge,IN853,4612702,******00497,same_website,Same website as the other listing of this school.,
sr90374,ib,003773,4612702,******00497,same_website,Same website as the other listing of this school.,
sr90375,cambridge,IN411,1522323,******04238,same_website,Same website as the other listing of this school.,
sr90375,ib,002279,1522323,******04238,same_website,Same website as the other listing of this school.,
sr90376,cambridge,IN780,1214052,******24101,same_website,Same website as the other listing of this school.,
sr90376,cbse,1630629,1214052,******24101,same_website,Same website as the other listing of this school.,
sr90377,cbse,430609,4257258,******00322,same_website,Same website as the other listing of this school.,
sr90377,ib,063924,4257258,******00322,same_website,Same website as the other listing of this school.,
sr90378,cambridge,IA593,5582974,******00109,same_website,Same website as the other listing of this school.,
sr90378,cbse,831568,5582974,******00109,same_website,Same website as the other listing of this school.,
sr90379,cambridge,IA947,5459726,******01849,same_website,Same website as the other listing of this school.,
sr90379,cbse,3630622,5459726,******01849,same_website,Same website as the other listing of this school.,
sr90381,cbse,830977,5521362,******11355,same_website,Same website as the other listing of this school.,
sr90381,ib,061424,5521362,******11355,same_website,Same website as the other listing of this school.,
sr90382,cambridge,IN561,5521540,******12246,same_website,Same website as the other listing of this school.,
sr90382,cbse,830515,5521540,******12246,same_website,Same website as the other listing of this school.,
sr90383,cambridge,IN159,1224386,******09502,same_website,Same website as the other listing of this school.,
sr90383,cbse,1630063,1224386,******09502,same_website,Same website as the other listing of this school.,
sr90384,cambridge,IA037,5583232,******00393,same_website,Same website as the other listing of this school.,
sr90384,icse,KA216,5583232,******00393,same_website,Same website as the other listing of this school.,
sr90386,cambridge,IA642,1424782,******30579,same_website,Same website as the other listing of this school.,
sr90386,cbse,3530541,1424782,******30579,same_website,Same website as the other listing of this school.,
sr90387,cambridge,IA345,5583110,******00238,same_website,Same website as the other listing of this school.,
sr90387,ib,063361,5583110,******00238,same_website,Same website as the other listing of this school.,
sr90388,cbse,830434,5520037,******14503,same_website,Same website as the other listing of this school.,
sr90388,ib,061489,5520037,******14503,same_website,Same website as the other listing of this school.,
sr90389,cambridge,IN759,5525150,******12007,same_website,Same website as the other listing of this school.,
sr90389,icse,KA261,5525150,******12007,same_website,Same website as the other listing of this school.,
sr90390,cambridge,IN281,1405796,******19911,same_website,Same website as the other listing of this school.,
sr90390,icse,UT062,1405796,******19911,same_website,Same website as the other listing of this school.,
sr90391,cambridge,IA817,4004670,******07703,same_website,Same website as the other listing of this school.,
sr90391,cbse,1030834,4004670,******07703,same_website,Same website as the other listing of this school.,
sr90392,cambridge,IN927,1218184,******05703,same_name_pincode,"Same name and pincode, and no other school with that name in that pincode.",
sr90392,icse,PU100,1218184,******05703,same_website,Same website as the other listing of this school.,
sr90392,ib,061470,1218184,******05703,same_website,Same website as the other listing of this school.,
sr90393,cambridge,IN505,,,same_website,Same website as the other listing of this school.,
sr90393,ib,002347,,,same_website,Same website as the other listing of this school.,
sr90394,cambridge,IA210,,,same_website,Same website as the other listing of this school.,
sr90394,icse,AP067,,,same_website,Same website as the other listing of this school.,
sr90395,cambridge,IA217,1203301,******04814,same_website,Same website as the other listing of this school.,
sr90395,cbse,1630988,1203301,******04814,same_website,Same website as the other listing of this school.,
sr90395,ib,062654,1203301,******04814,same_website,Same website as the other listing of this school.,
sr90396,cambridge,IN461,5511905,******03607,same_website,Same website as the other listing of this school.,
sr90396,cbse,830070,5511905,******03607,same_website,Same website as the other listing of this school.,
sr90396,ib,002764,5511905,******03607,same_website,Same website as the other listing of this school.,
sr90397,cbse,1930678,5142869,******03823,same_website,Same website as the other listing of this school.,
sr90397,ib,063463,5142869,******03823,same_website,Same website as the other listing of this school.,
sr90398,cambridge,IN646,4591058,******00314,same_website,Same website as the other listing of this school.,
sr90398,ib,002149,4591058,******00314,same_website,Same website as the other listing of this school.,
sr90399,cambridge,IA145,1811762,******13111,same_website,Same website as the other listing of this school.,
sr90399,cbse,1730938,1811762,******13111,same_website,Same website as the other listing of this school.,
sr90400,cambridge,IN643,1803830,******08310,same_website,Same website as the other listing of this school.,
sr90400,ib,002760,1803830,******08310,same_website,Same website as the other listing of this school.,
sr90401,cambridge,IA413,4616442,******00464,same_website,Same website as the other listing of this school.,
sr90401,ib,062207,4616442,******00464,same_website,Same website as the other listing of this school.,
sr90402,cambridge,IN987,,,same_website,Same website as the other listing of this school.,
sr90402,ib,060453,,,same_website,Same website as the other listing of this school.,
sr90403,cambridge,IN788,,,same_website,Same website as the other listing of this school.,
sr90403,ib,060061,,,same_website,Same website as the other listing of this school.,
sr90404,cambridge,IN763,1935829,******00119,same_website,Same website as the other listing of this school.,
sr90404,cbse,2131249,1935829,******00119,same_website,Same website as the other listing of this school.,
sr90405,cambridge,IN434,4254752,******09655,same_website,Same website as the other listing of this school.,
sr90405,icse,GU015,4254752,******09655,same_website,Same website as the other listing of this school.,
sr90405,ib,049833,4254752,******09655,same_website,Same website as the other listing of this school.,
sr90406,cbse,1131341,,,same_website,Same website as the other listing of this school.,
sr90406,ib,003527,,,same_website,Same website as the other listing of this school.,
sr90407,cambridge,IN806,,,same_website,Same website as the other listing of this school.,
sr90407,ib,052095,,,same_website,Same website as the other listing of this school.,
sr90408,cambridge,IN377,,,same_website,Same website as the other listing of this school.,
sr90408,ib,063807,,,same_website,Same website as the other listing of this school.,
